Display Key,Jurisdiction,Title,Application Date,Publication Date,Publication Year,Applicants,IPCR Classifications,Document Type,Legal Status
US 2025/0100135 A1,US,ROBOT CONTROL POLICY,2024-09-19,2025-03-27,2025,MENTEE ROBOTICS LTD,B25J9/16;;G06N3/008,Patent Application,PENDING
WO 2025/062342 A1,WO,A ROBOT CONTROL POLICY,2024-09-20,2025-03-27,2025,MENTEE ROBOTICS LTD,B25J9/16;;B25J9/00;;G06N3/008;;G06N20/00,Patent Application,PENDING
US 2026/0091502 A1,US,VISION-LANGUAGE MODEL FOR DETECTING AND REASONING OVER FAILURES IN ROBOTIC MANIPULATION,2025-05-29,2026-04-02,2026,NVIDIA CORP,B25J9/16,Patent Application,PENDING
US 2026/0091488 A1,US,AUTOMATED DATA GENERATION FOR BIMANUAL DEXTEROUS MANIPULATION IN ROBOTICS SYSTEMS AND APPLICATIONS,2025-04-04,2026-04-02,2026,NVIDIA CORP,B25J9/16,Patent Application,PENDING
US 12578733 B2,US,Bipedal action model for humanoid robot,2025-09-04,2026-03-17,2026,FIGURE AI INC,G06F40/40;;G05D1/495;;G05D101/15;;G05D109/12,Granted Patent,ACTIVE
US 2026/0080668 A1,US,FOUNDATION MODEL PRE-TRAINING USING SELF-SUPERVISED LEARNING FOR AUTONOMOUS AND SEMI-AUTONOMOUS SYSTEMS AND APPLICATIONS,2025-04-09,2026-03-19,2026,NVIDIA CORP,G06V10/774;;G06N3/0895;;G06V10/82,Patent Application,PENDING
US 2026/0102910 A1,US,LEARNING MANIPULATION THROUGH JACOBIAN MATRIX OF STIFFNESS AND IMPEDANCE CONTROL,2025-10-10,2026-04-16,2026,DEVOL ROBOTS SDN BHD,B25J9/16;;B25J13/08;;B25J19/02,Patent Application,PENDING
WO 2019/241680 A1,WO,DEEP REINFORCEMENT LEARNING FOR ROBOTIC MANIPULATION,2019-06-14,2019-12-19,2019,GOOGLE LLC,B25J9/16,Patent Application,PENDING
US 2026/0064125 A1,US,BIPEDAL ACTION MODEL FOR HUMANOID ROBOT,2025-09-04,2026-03-05,2026,FIGURE AI INC,G05D1/495;;G05D101/15;;G05D109/12;;G06F40/40,Patent Application,ACTIVE
WO 2026/080884 A1,WO,LEARNING MANIPULATION THROUGH JACOBIAN MATRIX OF STIFFNESS AND IMPEDANCE CONTROL,2025-10-10,2026-04-16,2026,DEVOL ROBOTS SDN BHD;;BOCHNER PLLC,B25J9/16;;B25J13/08;;B25J19/02;;G06N3/008,Patent Application,PENDING
US 2023/0226696 A1,US,Methods and Systems to Remotely Operate Robotic Devices,2020-11-02,2023-07-20,2023,UNIV LELAND STANFORD JUNIOR,B25J9/16;;B25J13/00,Patent Application,ACTIVE
